Entry	Length	EC number	Keywords	Gene Ontology (molecular function)
A0A0C5PHQ7	294	2.3.1.199	Cell projection;Endoplasmic reticulum;Fatty acid biosynthesis;Fatty acid metabolism;Lipid biosynthesis;Lipid metabolism;Membrane;Transferase;Transmembrane;Transmembrane helix	fatty acid elongase activity [GO:0009922]
A0A0C5Q4Y6	493	1.14.14.-; 1.14.14.175; 1.14.14.60	Heme;Iron;Membrane;Metal-binding;Monooxygenase;Oxidoreductase;Transmembrane;Transmembrane helix	heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]
A0A0C5QRZ2	492	1.14.14.-; 1.14.14.175; 1.14.14.60	Heme;Iron;Membrane;Metal-binding;Monooxygenase;Oxidoreductase;Transmembrane;Transmembrane helix	heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]
A0A0C5XL88	161	2.4.2.-	3D-structure;ADP-ribosylation;Glycosyltransferase;NAD;Nucleotidyltransferase;Toxin-antitoxin system;Transferase	glycosyltransferase activity [GO:0016757]; nucleotidyltransferase activity [GO:0016779]
A0A0C6DRW4	417	1.14.14.21	3D-structure;Cytoplasm;Direct protein sequencing;Flavoprotein;FMN;Monooxygenase;Nucleotide-binding;Oxidoreductase	3-methylbutanoyl-CoA dehydrogenase activity [GO:0008470]; flavin adenine dinucleotide binding [GO:0050660]; monooxygenase activity [GO:0004497]
A0A0D1CKI0	828		Cell wall;Cell wall biogenesis/degradation;Cleavage on pair of basic residues;Disulfide bond;Glycoprotein;Reference proteome;Secreted;Signal	structural constituent of cell wall [GO:0005199]
A0A0D1DWQ2	290	5.4.99.5	3D-structure;Allosteric enzyme;Glycoprotein;Host cytoplasm;Isomerase;Reference proteome;Secreted;Signal;Virulence	chorismate mutase activity [GO:0004106]
A0A0D1DWZ5	792		3D-structure;Cytoplasm;Cytoskeleton;Endosome;mRNA transport;Reference proteome;Repeat;RNA-binding;Transport	mRNA 3'-UTR binding [GO:0003730]; poly(A) binding [GO:0008143]; poly(U) RNA binding [GO:0008266]
A0A0D1E015	1287		3D-structure;ANK repeat;Cytoplasm;Cytoskeleton;Endosome;Metal-binding;mRNA transport;Reference proteome;Repeat;Transferase;Transport;Ubl conjugation pathway;Zinc;Zinc-finger	transferase activity [GO:0016740]; zinc ion binding [GO:0008270]
A0A0D2UG83	368		3D-structure;Chromatin regulator;Chromosome;DNA-binding;Nucleosome core;Nucleus;Reference proteome	ADP-D-ribose binding [GO:0072570]; ADP-D-ribose modification-dependent protein binding [GO:0160002]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]
A0A0D2Y5A7	457	2.3.1.12	Acyltransferase;Lipoyl;Mitochondrion;Pyruvate;Reference proteome;Transferase;Transit peptide	dihydrolipoyllysine-residue acetyltransferase activity [GO:0004742]
A0A0D4WTV1	289	4.6.1.-	Cytolysis;Dermonecrotic toxin;Disulfide bond;Hemolysis;Lipid degradation;Lipid metabolism;Lyase;Magnesium;Metal-binding;Secreted;Signal;Toxin;Zymogen	lyase activity [GO:0016829]; metal ion binding [GO:0046872]; phosphoric diester hydrolase activity [GO:0008081]; toxin activity [GO:0090729]
A0A0D4WV12	279	4.6.1.-	3D-structure;Cytolysis;Dermonecrotic toxin;Disulfide bond;Hemolysis;Lipid degradation;Lipid metabolism;Lyase;Magnesium;Metal-binding;Secreted;Toxin;Zymogen	lyase activity [GO:0016829]; metal ion binding [GO:0046872]; phosphoric diester hydrolase activity [GO:0008081]; toxin activity [GO:0090729]
A0A0D9S1R0	323		Chylomicron;Endosome;Extracellular matrix;Glycoprotein;HDL;Heparin-binding;Lipid transport;Lipid-binding;Oxidation;Phosphoprotein;Reference proteome;Repeat;Secreted;Signal;Transport;VLDL	cholesterol transfer activity [GO:0120020]; heparan sulfate proteoglycan binding [GO:0043395]; heparin binding [GO:0008201]; identical protein binding [GO:0042802]; low-density lipoprotein particle receptor binding [GO:0050750]; phosphatidylcholine-sterol O-acyltransferase activator activity [GO:0060228]; phospholipid binding [GO:0005543]
A0A0E3D8M9	364	2.5.1.-; 2.5.1.1; 2.5.1.10; 2.5.1.29	Isoprene biosynthesis;Magnesium;Metal-binding;Transferase	(2E,6E)-farnesyl diphosphate synthase activity [GO:0004337]; dimethylallyltranstransferase activity [GO:0004161]; geranylgeranyl diphosphate synthase activity [GO:0004311]; metal ion binding [GO:0046872]
A0A0E3D8P4	341	2.5.1.-; 2.5.1.1; 2.5.1.10; 2.5.1.29	Isoprene biosynthesis;Magnesium;Metal-binding;Transferase	(2E,6E)-farnesyl diphosphate synthase activity [GO:0004337]; dimethylallyltranstransferase activity [GO:0004161]; geranylgeranyl diphosphate synthase activity [GO:0004311]; metal ion binding [GO:0046872]
A0A0E3JXD9	357	1.4.3.3	Cell wall;Cytoplasm;FAD;Flavoprotein;Oxidoreductase;Secreted	D-amino-acid oxidase activity [GO:0003884]
A0A0E3KBH3	305	1.2.7.11	Iron;Iron-sulfur;Magnesium;Metal-binding;Oxidoreductase;Thiamine pyrophosphate	2-oxobutyrate synthase activity [GO:0018491]; 2-oxoglutarate synthase activity [GO:0047553]; 4 iron, 4 sulfur cluster binding [GO:0051539]; magnesium ion binding [GO:0000287]; pyruvate synthase activity [GO:0019164]; thiamine pyrophosphate binding [GO:0030976]
A0A0E3T3B5	503	1.2.1.-; 1.2.1.19	Metal-binding;NAD;Oxidoreductase;Peroxisome;Sodium	3-aminopropanal dehydrogenase (NAD+) activity [GO:0102244]; aminobutyraldehyde dehydrogenase (NAD+) activity [GO:0019145]; metal ion binding [GO:0046872]
A0A0E3T552	503	1.2.1.-; 1.2.1.19	Cytoplasm;Metal-binding;NAD;Oxidoreductase;Sodium	3-aminopropanal dehydrogenase (NAD+) activity [GO:0102244]; aminobutyraldehyde dehydrogenase (NAD+) activity [GO:0019145]; metal ion binding [GO:0046872]
A0A0F5HNH9	192	1.16.3.1	3D-structure;Encapsulin nanocompartment;Iron;Iron storage;Oxidoreductase;Reference proteome	ferroxidase activity [GO:0004322]; iron ion sequestering activity [GO:0140315]
A0A0F6B5X3	96		3D-structure;DNA-binding;Repressor;Toxin-antitoxin system;Transcription;Transcription regulation	DNA binding [GO:0003677]
A0A0F6B5X4	175	2.3.1.-	3D-structure;Acyltransferase;Repressor;RNA-binding;Toxin-antitoxin system;Transcription;Transcription regulation;Transferase;tRNA-binding	acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; tRNA binding [GO:0000049]
A0A0F6B8D8	161	2.3.1.-	3D-structure;Acyltransferase;Repressor;RNA-binding;Toxin-antitoxin system;Transcription;Transcription regulation;Transferase;tRNA-binding	acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; tRNA binding [GO:0000049]
A0A0F6B8D9	95		3D-structure;DNA-binding;Repressor;Toxin-antitoxin system;Transcription;Transcription regulation	DNA binding [GO:0003677]
A0A0F7G352	356	4.1.2.65	Chloroplast;Disulfide bond;Glycoprotein;Lyase;Plastid;Reference proteome;Transit peptide	cysteine-type peptidase activity [GO:0008234]; feruloyl-CoA hydratase/lyase activity [GO:0050547]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]
A0A0F7KYQ8	266	3.5.2.6	3D-structure;Antibiotic resistance;Hydrolase;Metal-binding;Periplasm;Plasmid;Signal;Zinc	hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]
A0A0G2JDV3	611	3.6.5.-	Antimicrobial;Cytoplasmic vesicle;GTP-binding;Hydrolase;Immunity;Innate immunity;Nucleotide-binding;Reference proteome	GTP binding [GO:0005525]; GTPase activity [GO:0003924]
A0A0G2JTR4	859		Cell projection;Coiled coil;GTPase activation;Guanine-nucleotide releasing factor;Phosphoprotein;Reference proteome;Synapse	GTPase activator activity [GO:0005096]; guanyl-nucleotide exchange factor activity [GO:0005085]
A0A0G2JTY4	1076		Acetylation;Cytoplasm;DNA-binding;Nucleus;Phosphoprotein;Reference proteome;Repeat;Transcription;Transcription regulation;Ubl conjugation	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription cis-regulatory region binding [GO:0000976]
A0A0G2JTZ2	827		Activator;Alternative splicing;Coiled coil;Cytoplasm;Developmental protein;Differentiation;DNA-binding;Isopeptide bond;Nucleus;Phosphoprotein;Reference proteome;Repressor;Transcription;Transcription regulation;Ubl conjugation	cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity [GO:0001217]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; protein homodimerization activity [GO:0042803]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; transcription cis-regulatory region binding [GO:0000976]
A0A0G2JUG7	962		Coiled coil;Cytoplasm;Cytoplasmic vesicle;Guanine-nucleotide releasing factor;Lipid-binding;Nucleus;Phosphoprotein;Reference proteome;Synapse	guanyl-nucleotide exchange factor activity [GO:0005085]; lipid binding [GO:0008289]; protein kinase binding [GO:0019901]
A0A0G2JV04	727		Endosome;Golgi apparatus;Membrane;Phosphoprotein;Protein transport;Reference proteome;Transport;Ubl conjugation	phosphatidylinositol binding [GO:0035091]; protein transporter activity [GO:0140318]; protein-containing complex binding [GO:0044877]; small GTPase binding [GO:0031267]; ubiquitin binding [GO:0043130]
A0A0G2JXN2	759		Cell projection;Coiled coil;Cytoplasm;Cytoskeleton;Metal-binding;Phosphoprotein;Reference proteome;Repeat;Zinc;Zinc-finger	zinc ion binding [GO:0008270]
A0A0G2JXT6	655	3.1.3.95	Cell membrane;Cell projection;Coiled coil;Cytoplasm;Endocytosis;Endoplasmic reticulum;Hydrolase;Lipid metabolism;Membrane;Phosphoprotein;Reference proteome	phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity [GO:0052629]; phosphatidylinositol-3,5-bisphosphate phosphatase activity [GO:0106018]; phosphatidylinositol-3-phosphate phosphatase activity [GO:0004438]
A0A0G2JZ79	555	2.3.1.-; 2.3.1.286	Acetylation;Apoptosis;Biological rhythms;Cytoplasm;Developmental protein;Differentiation;Metal-binding;Methylation;Myogenesis;NAD;Nucleus;Phosphoprotein;Reference proteome;S-nitrosylation;Transcription;Transcription regulation;Transferase;Ubl conjugation;Zinc	bHLH transcription factor binding [GO:0043425]; caspase binding [GO:0089720]; deacetylase activity [GO:0019213]; DNA-binding transcription factor binding [GO:0140297]; enzyme activator activity [GO:0008047]; enzyme binding [GO:0019899]; histone binding [GO:0042393]; histone deacetylase activity [GO:0004407]; histone deacetylase activity, NAD-dependent [GO:0017136]; histone H3K deacetylase activity [GO:0141050]; histone H3K14 deacetylase activity, NAD-dependent [GO:0032041]; histone H3K9 deacetylase activity, NAD-dependent [GO:0046969]; histone H4K12 deacetylase activity, hydrolytic mechanism [GO:0140937]; histone H4K16 deacetylase activity, NAD-dependent [GO:0046970]; HLH domain binding [GO:0043398]; identical protein binding [GO:0042802]; keratin filament binding [GO:1990254]; metal ion binding [GO:0046872]; mitogen-activated protein kinase binding [GO:0051019]; NAD+ binding [GO:0070403]; NAD-dependent histone decrotonylase activity [GO:0160012]; NAD-dependent protein lysine deacetylase activity [GO:0034979]; NAD-dependent protein lysine delactylase activity [GO:0141208]; NAD-dependent protein-lysine depropionylase activity [GO:0106231]; nuclear receptor binding [GO:0016922]; p53 binding [GO:0002039]; promoter-specific chromatin binding [GO:1990841]; protein domain specific binding [GO:0019904]; protein kinase B binding [GO:0043422]; protein lysine deacetylase activity [GO:0033558]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription coactivator activity [GO:0003713]; transcription corepressor activity [GO:0003714]
A0A0G2K047	683	6.2.1.1; 6.2.1.17	Acetylation;ATP-binding;Ligase;Lipid metabolism;Mitochondrion;Nucleotide-binding;Reference proteome;Transit peptide	acetate-CoA ligase activity [GO:0003987]; ATP binding [GO:0005524]; medium-chain fatty acid-CoA ligase activity [GO:0031956]; propionate-CoA ligase activity [GO:0050218]
A0A0G2K309	301		Antiport;Membrane;Mitochondrion;Mitochondrion inner membrane;Reference proteome;Repeat;Transmembrane;Transmembrane helix;Transport	antiporter activity [GO:0015297]; L-arginine transmembrane transporter activity [GO:0061459]; L-lysine transmembrane transporter activity [GO:0015189]; L-ornithine transmembrane transporter activity [GO:0000064]
A0A0G2K344	1068	2.7.1.137; 2.7.1.153; 2.7.11.1	Angiogenesis;ATP-binding;Kinase;Nucleotide-binding;Phagocytosis;Proto-oncogene;Reference proteome;Serine/threonine-protein kinase;Transferase	1-phosphatidylinositol-3-kinase activity [GO:0016303]; 1-phosphatidylinositol-4,5-bisphosphate 3-kinase activity [GO:0046934]; 1-phosphatidylinositol-4-phosphate 3-kinase activity [GO:0035005]; ATP binding [GO:0005524]; insulin receptor substrate binding [GO:0043560]; protein kinase activator activity [GO:0030295]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
A0A0G2KQY6	494		Cell membrane;Endosome;Ion transport;Lysosome;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix;Transport;Zinc;Zinc transport	cadmium ion transmembrane transporter activity [GO:0015086]; iron ion transmembrane transporter activity [GO:0005381]; manganese ion transmembrane transporter activity [GO:0005384]; monoatomic anion:monoatomic cation symporter activity [GO:0015296]; monoatomic cation:bicarbonate symporter activity [GO:0140410]; zinc ion transmembrane transporter activity [GO:0005385]
A0A0G2KTI4	1136		3D-structure;Alternative splicing;Cell membrane;Chloride;Disulfide bond;Glycoprotein;Ion transport;Membrane;Metal-binding;Phosphoprotein;Potassium;Potassium transport;Reference proteome;Sodium;Sodium transport;Symport;Transmembrane;Transmembrane helix;Transport	ammonium channel activity [GO:0008519]; chloride:monoatomic cation symporter activity [GO:0015377]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; sodium:potassium:chloride symporter activity [GO:0008511]
A0A0G2L7I0	636	3.4.24.-	Autocatalytic cleavage;Chromosome;DNA damage;DNA repair;Hydrolase;Isopeptide bond;Metal-binding;Metalloprotease;Nucleus;Protease;Reference proteome;Zinc;Zinc-finger	double-stranded DNA binding [GO:0003690]; metalloendopeptidase activity [GO:0004222]; polyubiquitin modification-dependent protein binding [GO:0031593]; single-stranded DNA binding [GO:0003697]; zinc ion binding [GO:0008270]
A0A0G2Q9D6	714	5.6.2.2	ATP-binding;Cytoplasm;DNA-binding;Isomerase;Magnesium;Metal-binding;Nucleotide-binding;Topoisomerase	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA negative supercoiling activity [GO:0034335]; metal ion binding [GO:0046872]
A0A0G2Q9F8	838	5.6.2.2	Antibiotic resistance;ATP-binding;Cytoplasm;DNA-binding;Isomerase;Nucleotide-binding;Topoisomerase	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA negative supercoiling activity [GO:0034335]
A0A0G2QC33	393	3.4.22.-	Acetylation;Alternative splicing;Autophagy;Cytoplasm;Cytoplasmic vesicle;Disulfide bond;Endoplasmic reticulum;Glycoprotein;Hydrolase;Isopeptide bond;Mitochondrion;Phosphoprotein;Protease;Protein transport;Reference proteome;S-nitrosylation;Thiol protease;Transport;Ubl conjugation;Ubl conjugation pathway	cysteine-type endopeptidase activity [GO:0004197]; cysteine-type peptidase activity [GO:0008234]; endopeptidase activity [GO:0004175]; peptidase activity [GO:0008233]; protein-phosphatidylethanolamide deconjugating activity [GO:0019786]; scaffold protein binding [GO:0097110]
A0A0G2UGT2	150		Glycoprotein;Hemagglutinin;Lectin	galactose binding [GO:0005534]; peptidoglycan binding [GO:0042834]
A0A0G4P2K0	1049	1.14.14.1; 1.6.2.4	Electron transport;FAD;Flavoprotein;FMN;Heme;Iron;Metal-binding;Monooxygenase;NADP;Oxidoreductase;Reference proteome;Transport	aromatase activity [GO:0070330]; flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; NADPH-hemoprotein reductase activity [GO:0003958]
A0A0H2UNG0	1280	3.2.1.41	3D-structure;Calcium;Cell wall;Glycosidase;Hydrolase;Metal-binding;Peptidoglycan-anchor;Reference proteome;Secreted;Signal;Virulence	amylopectin binding [GO:2001066]; calcium ion binding [GO:0005509]; glycogen binding [GO:2001069]; limit dextrinase activity [GO:0010303]; polysaccharide binding [GO:0030247]; pullulan binding [GO:2001067]; pullulanase activity [GO:0051060]
A0A0H2URG7	503	2.4.1.-	3D-structure;Cell membrane;Cytoplasm;Glycosyltransferase;Membrane;Nucleotide-binding;Reference proteome;Transferase	glycosyltransferase activity [GO:0016757]; nucleotide binding [GO:0000166]
A0A0H2URJ6	406		3D-structure;Glycosyltransferase;Manganese;Metal-binding;Nucleotide-binding;Reference proteome;Transferase	glycosyltransferase activity [GO:0016757]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]
A0A0H2URU9	108		3D-structure;Cell membrane;Competence;Fimbrium;Membrane;Methylation;Reference proteome;Secreted;Signal;Transmembrane;Transmembrane helix	
A0A0H2US87	484	4.3.99.-	3D-structure;ANK repeat;Host cytoplasm;Lyase;NAD;Plasmid;Reference proteome;Repeat;Secreted;Toxin;Virulence	ADP-riboxanase activity [GO:0140740]; calmodulin binding [GO:0005516]; toxin activity [GO:0090729]
A0A0H2USC0	563	2.3.2.27	3D-structure;Host cytoplasm;Leucine-rich repeat;Plasmid;Reference proteome;Repeat;Secreted;Transferase;Ubl conjugation;Ubl conjugation pathway;Virulence	toxin activity [GO:0090729]; ubiquitin protein ligase activity [GO:0061630]
A0A0H2USG1	575	2.3.2.27	3D-structure;Host cytoplasm;Leucine-rich repeat;Plasmid;Reference proteome;Repeat;Secreted;Transferase;Ubl conjugation;Ubl conjugation pathway;Virulence	toxin activity [GO:0090729]; ubiquitin protein ligase activity [GO:0061630]
